Country,NumberOfSpecies,Area,SpeciesDensity,logSpeciesDensity,latitude,island,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,AnnualInsolation,AnnualNetFlux,PercentUrbanized,PercentDeveloped,PercentNaturallyVegetated,ConcPM25
Austria,197,83858,0.002349209,-2.629078274,48.2,0,6.18329863,8.754647267,32.46780645,688.8857985,26.69474983,-13.4505,26.94108855,14.50832259,-1.718313024,14.62148543,-2.207528507,1066.204986,137.4792244,53.80055402,31.75614105,384.7119114,180.0858726,384.1883657,181.5096953,2009.177338,-505.4818361,1.898101898,26.07392607,73.62637363,11.0934925
Belgium,88,30510,0.0028843,-2.539959535,50.85,0,9.68767423,7.509816378,33.38556066,560.6145233,23.56649971,-2.6115,22.48911903,8.782072549,6.431576235,16.67754391,3.009184221,841.2071429,83.63571429,55.15714286,12.89700533,240.2285714,180.8142857,217.3714286,208.0642857,1798.461779,-751.5514502,9.793814433,75,24.22680412,12.7089227
Bulgaria,211,110994,0.001901004,-2.721017047,42.68,0,10.4322806,10.36091893,33.31600728,783.5880547,30.79800034,-10.356,31.09171631,15.14998338,7.459501655,19.95669616,0.722705138,590.7886364,69.11590909,35.14090909,21.93770429,191.6159091,114.1386364,163.1340909,128.5704545,2330.855635,-321.6875933,1.306122449,67.02040816,32.97959184,11.6812164
Cyprus,48,9251,0.005188628,-2.284947444,35.17,1,18.0033478,11.39712289,40.16778708,650.3485641,36.56200027,0.10675,28.36411953,10.39967962,25.8211689,26.00082195,10.37437354,490.28125,109.875,1.9375,90.71535015,280.09375,10.125,10.875,260.78125,3142.425389,116.8469194,2.272727273,31.81818182,55.68181818,11.9419247
Czech Republic,140,78866,0.001775163,-2.750761779,50.08,0,7.64722414,8.379520532,30.78920151,717.2890375,25.98600006,-6.8944998,27.20646992,16.29695625,0.587989496,16.42562653,-1.188753152,650.3221289,90.02240896,32.42577031,37.68896183,248.3585434,105.6414566,248.2128852,113.4341737,1761.038687,-652.8978063,2.553626149,62.20633299,37.79366701,17.1946583
Denmark,63,44493,0.001415953,-2.84895114,55.72,0,8.08231139,6.231805965,27.85949931,606.0349194,21.91041183,-6.1579251,22.29183096,10.95221478,3.508960452,15.66389133,1.014324984,700.9957082,78.36480687,37.06008584,23.66888736,225.9098712,122.9399142,187.1072961,158.4635193,1669.328201,-832.7521008,1.495016611,81.56146179,8.471760797,7.98811313
Estonia,98,45339,0.002161495,-2.665245861,59.42,0,5.48654363,7.426371236,24.33668736,828.5588384,23.12325096,-10.5205,30.45265676,13.63680925,-1.060551614,15.90240624,-4.391951268,647.5077519,79.45736434,30.7751938,33.1087592,225.8527132,97.66666667,211.3023256,121.5387597,1606.911797,-897.5997316,0.285306705,21.68330956,69.32952924,6.15780924
Finland,110,338145,0.000325304,-3.487710285,60.17,0,1.49179382,8.189562474,23.52027295,937.3159362,22.63425064,-21.796499,34.83207142,12.49611728,-4.896997771,13.51723907,-9.733571184,581.76502,76.93635959,28.90298175,33.55608282,209.6688919,92.56831331,206.0338229,110.6377392,1440.687818,-1102.241637,0.143769968,0.798722045,92.8913738,5.41407868
France,244,551394,0.000442515,-3.35407221,48.86,0,10.6625807,8.671453942,36.41028572,565.1396571,31.21724892,-10.9795,23.82013178,9.070503098,12.66347433,17.79255679,4.045111893,849.537029,92.78605457,49.30272845,18.46779885,256.4993504,166.3702902,182.6613252,225.034647,2151.44807,-540.4678785,1.74048174,75.15151515,23.63636364,8.71822244
Germany,178,357168,0.000498365,-3.30245254,52.52,0,8.56567758,8.022093945,32.03327814,647.4864831,25.3845005,-7.55825,25.03903211,13.65564484,4.177380965,16.62792666,0.770116462,780.0356065,86.85455643,47.3952927,19.14665264,242.066385,156.3089922,232.7911889,179.983102,1721.950997,-734.2461015,5.006530257,64.27949499,34.41445364,12.517245
Greece,230,131940,0.001743217,-2.758648644,37.97,0,13.7776535,9.557310658,34.5521085,678.1234708,33.72000122,-5.7414999,27.55889952,8.483909494,22.12392322,22.30043182,5.831109894,667.062753,101.6619433,18.29149798,50.56553421,275.4048583,62.51214575,66.4757085,248.6862348,2698.501808,-102.7232377,0.593031875,35.58191253,57.67234989,9.16794887
Hungary,152,93030,0.001633882,-2.786779433,47.43,0,10.2494977,9.542694382,31.23545517,806.1780464,28.54649925,-5.9190001,30.52018571,19.0771196,1.830569556,19.93310185,0.101699535,566.8982188,70.1221374,27.97709924,28.74122652,192.6590331,89.59796438,189.9821883,100.7633588,2116.950294,-451.1736002,2.272727273,88,11.09090909,19.1595773
Ireland,30,70273,0.000426906,-3.36966724,53.35,1,9.49691335,6.548643365,40.43114767,369.876455,19.94725037,0.90249997,16.17825336,6.554647311,11.14479471,14.25644098,5.366275764,1241.57478,138.4809384,70.90322581,24.02035726,404.3372434,224.1290323,257.9589443,371.2961877,1691.352015,-870.8357602,0.531349628,2.231668438,93.09245484,2.87487179
Italy,264,301338,0.000876093,-3.057449975,41.9,0,12.1940363,8.431562784,32.44836075,651.5951861,32.27724838,-13.45,25.95833108,12.32401916,13.83320879,20.40779309,4.612093593,793.3696563,101.9505448,31.71416597,34.62145436,276.5616094,118.2238055,156.4853311,195.4677284,2466.956221,-267.3524404,2.632375189,58.94099849,39.00151286,12.2477177
Latvia,105,64589,0.001625664,-2.788969262,56.95,0,5.79948861,7.239750406,24.83356298,815.727904,23.02025032,-10.016,29.14817429,14.21616728,-2.117677399,15.91256179,-4.117128655,670.845481,81.21574344,29.89504373,30.36264608,229.5685131,105.1603499,220.8833819,124.5393586,1628.790332,-863.4471307,0.313807531,37.65690377,59.72803347,8.5556132
Lithuania,114,65300,0.001745789,-2.75800833,54.68,0,6.30342726,7.712913854,26.72310338,802.8999025,23.19000053,-8.8459997,28.83404099,15.53220277,-1.870686346,16.13989168,-3.515594411,656.7921687,80.93975904,29.85240964,29.42680135,225.9819277,105.2048193,222.7078313,123.7259036,1663.824137,-847.0099306,0.218102508,72.19193021,27.04471101,11.8862507
Luxembourg,78,2586,0.030162413,-1.520533918,49.6,0,8.80637117,7.670890028,32.39439184,611.0720215,23.09799957,-1.9725,23.67170438,3.454098496,8.74127271,16.46169714,1.509662867,878.3636364,94.36363636,57.36363636,14.55967608,262.6363636,191.3636364,200.8181818,244.4545455,1815.002006,-716.5459955,3.125,40.625,59.375,10.4747516
Malta,18,316,0.056962025,-1.244414578,35.9,1,18.7588193,7.341693013,34.43451774,520.2856776,31.12586212,9.21176434,21.31975382,14.65168085,25.06676706,25.44895149,12.92620895,534.1885063,102.0981857,0,82.08930021,274.552925,6.781933956,49.08797424,185.8877904,2903.466287,187.4021871,25,50,0,6.83527398
Netherlands,55,41198,0.001335016,-2.874513444,52.37,0,9.59922271,7.544723877,34.2228488,547.1557096,23.16024971,-0.7665,21.99729434,8.323673837,5.616592718,16.37441148,3.065279404,796.25,82.36585366,45.56707317,17.64161554,235.945122,159.0243902,204.6158537,194.4817073,1722.821557,-775.2157109,11.95652174,70.2173913,23.26086957,12.9401304
Poland,147,312685,0.000470122,-3.327789713,52.22,0,7.84248748,8.2061841,29.24654872,753.4678069,24.82324982,-9.5567503,28.05991945,16.95674514,-0.013509032,16.99898862,-1.517452761,588.9141689,80.71662125,26.90054496,35.55427527,221.9856948,91.40326975,221.7826975,100.7132153,1673.356223,-766.9541618,1.614481409,71.62426614,27.49510763,20.0107739
Portugal,147,91568,0.001605364,-2.794426394,38.77,0,14.8977586,9.681413813,42.00826129,476.7150273,32.72925186,-0.56425,23.04866504,10.04871408,20.82883368,21.05478977,9.412330884,913.3638968,137.4613181,11.65329513,57.67461761,383.2893983,60.55873926,69.04584527,371.6876791,2866.827244,-132.8298702,0.61791967,24.92276004,71.78166838,5.49453964
Romania,180,238392,0.000755059,-3.122019172,44.42,0,8.83346288,9.871888619,31.51897755,820.0317062,30.56599998,-11.4635,31.29793521,17.1702981,-0.066661224,18.69378996,-1.451863255,615.6181818,87.8020202,30.18888889,36.7719801,235.0393939,97.27171717,225.8909091,102.8818182,2142.335615,-442.8221088,0.618406693,72.09894507,27.79192434,14.9821692
Slovakia,164,49036,0.003344482,-2.475671188,48.15,0,7.72416378,9.391529355,31.81365137,761.2081697,28.16875076,-9.0942497,29.50807407,16.2401196,-0.333342401,16.9094713,-1.824466816,732.2916667,95.28703704,36.83796296,32.16447562,263.7731481,116.7222222,261.6342593,127.6388889,1902.810715,-568.2583665,2.006688963,49.83277592,50,19.5852289
Slovenia,172,20273,0.008484191,-2.071389573,46.05,0,8.46696555,9.45833715,33.22791277,713.0048325,27.77230835,-8.5,28.44286726,12.78106813,0.85131017,17.20082912,-0.328982836,1440.717647,164.2470588,70.81176471,24.87711408,457.4823529,249.9294118,410.0823529,264.5294118,2143.017629,-402.0579001,0.423728814,25.84745763,73.72881356,13.177046
Spain,243,498468,0.000487494,-3.31203101,40.42,0,13.2029676,11.41768953,39.89048585,615.6065581,36.43775177,-8.9092503,28.6408609,10.02171079,19.48027601,21.22101085,6.251814386,630.5295966,83.69198533,18.65845993,40.52404956,228.8114196,76.12414877,84.62231535,200.3771608,2766.613656,-200.2689397,0.509626274,45.01698754,53.92600982,6.33788996
Sweden,108,449964,0.000240019,-3.619754013,59.35,0,2.27497924,8.408981789,27.01295771,825.4579623,22.77636337,-21.502001,31.28400723,11.19713025,-3.396523983,12.86954318,-7.466605769,651.8450406,84.67384398,32.4511119,30.89577168,226.0310625,107.9410519,217.8955171,132.0144723,1500.643862,-1051.887969,0.241484494,2.872394509,92.42501271,4.17750501
UK,55,248532,0.000221299,-3.655019625,51.51,1,8.61537106,6.843998298,37.58920762,426.9033232,23.0189991,-3.31025,18.18167685,5.504159407,9.078453581,14.07650248,3.777810187,1109.227461,124.6923077,61.99669148,21.81011083,359.3010753,199.4292804,229.3788255,321.0471464,1664.712501,-873.4805557,3.301606187,34.53301606,61.60023795,5.42820201
Florida,193,170305,0.001133261,-2.94567009,27.75,0,21.39544248,11.91499614,48.21169656,499.7421708,33.6534996,3.162750006,24.88872802,27.10303669,17.69149473,27.15087136,14.98361782,1365.925311,199.2966805,56.99377593,45.34302341,548.7510373,200.5726141,536.1473029,241.1307054,2937.874069,208.6317383,5.216752388,20.20573108,75.82659809,6.96703347
Cuba,196,109884,0.001783699,-2.748678389,23.13,1,25.083661,9.081820611,62.37432243,190.5955503,33.33280182,13.5620003,14.54979119,26.71839352,22.61453842,27.22617506,22.55749231,1339.672464,207.5623188,30.66376812,60.7448879,539.4405797,111.1681159,489.057971,117.0927536,3385.019279,466.1876344,0.316122234,62.48682824,30.66385669,2.82834436
Parana,689,199308,0.003456961,-2.461305509,24,0,18.87562813,12.04365685,59.93524094,299.5824412,32.17874908,3.785000086,20.07930012,21.92054294,16.08083919,22.3045628,15.0745086,1555.345257,190.7698289,77.48678072,28.63909881,511.4821151,283.5225505,506.7029549,311.0202177,2932.81488,254.439361,1.127395716,42.10822999,56.98985344,9.47554204
Kinabalu,625,753,0.83001328,-0.080914959,6.08,0,21.75700315,7.502590338,85.2617925,43.86941401,28.61700058,13.44225025,8.799000104,21.48037529,21.62725004,22.29019483,21.17137527,2382.666667,271,131.3333333,23.68021075,756.6666667,433,596,630,2993.599991,1052.764999,0,0,100,4.59775276
Mexico State,325,21355,0.015218918,-1.817616215,19,0,15.42664239,15.14479,68.70704097,174.7993317,39.29999924,-0.856999993,22.07156147,16.48382028,13.77178427,17.41077921,13.12834306,963.5479452,197.5068493,8.424657534,95.75121266,558.3424658,32.47945205,290.5890411,35.24657534,3443.685813,577.7154853,4.568527919,41.11675127,58.88324873,16.224104
"Federal District, Brazil",839,5800,0.144655172,-0.839666033,16,0,20.95334661,11.26173967,67.45856524,123.5344067,28.81624985,11.14325047,16.69475019,21.56421328,19.21811712,21.88728106,19.1360054,1495.8125,260.25,7.125,80.32254171,729.5,26.8125,410.9375,45.3125,3336.802492,662.5237474,12.96296296,20.37037037,79.62962963,5.57749694
Calakmul,428,7232,0.059181416,-1.227814648,18.5,0,25.44174297,13.2364712,68.35685945,198.8986445,36.4327507,15.22099972,19.36802527,26.41037286,24.92258111,27.47317207,22.71508882,1123.794872,208.5897436,24.20512821,64.90531511,507.5128205,82.97435897,336.3589744,124.8461538,3237.547378,398.5921128,0,0,100,3.20605028
Sulawesi,557,174600,0.003190149,-2.496189044,2,1,24.30114807,8.349225739,84.75101284,38.97661253,34.14875031,9.737500191,9.878263037,24.23364299,24.37514962,24.7128976,23.79357877,2169.196262,276.7009346,94.28411215,32.85153215,751.5719626,323.3102804,423.7850467,563.8130841,2979.746899,1089.565841,0.133511348,16.48865154,76.36849132,3.33060585
Sri Lanka,244,65610,0.003718945,-2.429580211,7,1,26.6560766,7.531843353,67.90964652,114.8827916,34.31718063,10.9482498,11.11880134,25.73879981,27.39436465,27.87100442,25.11394849,1888.704663,342.1450777,41.1761658,68.27635711,863.4352332,189.2901554,364.8393782,582.3005181,3139.885682,955.8188667,0.182815356,49.1773309,46.43510055,6.77799544
Australia,398,7692000,5.17421E-05,-4.286156203,24,1,21.7327588,13.88575278,49.98104981,514.2543235,42.1570015,-4.2335,28.01208654,24.90033555,18.75116102,27.63042401,15.02675579,481.0418248,93.20177366,11.53896856,61.54950034,241.2681261,42.66064794,179.0765789,67.17616746,3479.576567,252.9863841,0.12507188,7.405117884,90.89562967,1.49283214
Zambia,901,752618,0.001197154,-2.92184981,15.42,0,21.201833,13.86489036,58.56138139,250.8542405,37.77425003,4.06325006,23.75886779,22.38491777,17.78643582,23.72789099,17.68799303,995.2370173,227.2782956,0.046160675,112.1458696,638.7270306,0.959165557,210.786063,3.741677763,3424.199609,676.1958918,0.047747891,0.68438644,97.8513449,17.7673356
Tanzania,1583,947303,0.00167106,-2.777007998,6.8,0,22.3945398,10.55170913,68.58829723,131.6296387,34.44400024,-1.0235,15.42616879,23.06882847,20.76037622,23.79819503,20.61304547,965.3226388,194.8046143,5.288752704,90.14389482,503.2797404,21.90302812,277.0638068,31.5371305,3438.720019,625.097919,0.012976901,6.838826888,86.71165326,9.59586043
South Africa,797,1220000,0.000653279,-3.184901509,30.6,0,17.5333426,15.00702448,55.02944612,454.8215891,36.58974838,-5.8340001,27.46089315,21.04587323,12.86715041,22.60200528,11.55323691,481.8986968,80.63289894,9.32948119,62.71315473,221.8782887,33.77231374,202.4393902,43.47971478,3376.916927,197.6346723,0.450888516,8.504995137,90.743524,13.0962555
Cameroon,1593,475442,0.003350566,-2.474881768,7.4,0,24.34193,10.34456737,70.20986819,113.9856917,41.60449982,11.243,15.14085504,23.45249864,24.3158601,25.88458464,23.13042105,1618.734066,295.5289377,14.82490842,77.43176063,769.4791209,62.90695971,291.3040293,593.5135531,3110.373661,829.25586,0.079051383,12.01581028,87.43083004,13.0199153
India,1163,3287000,0.000353818,-3.451219989,19.1,0,23.8992599,11.89017899,44.73696847,474.7110884,44.38775253,-31.13125,27.25745814,25.98827938,21.21446003,29.43399265,17.64938228,1129.599082,314.4185791,4.3594093,118.720326,771.2885652,25.5091798,293.2205149,76.27190182,2971.591197,185.823265,0.437558281,65.99239653,28.24044186,39.3935453
Nepal,643,147181,0.00436877,-2.359640776,27.7,0,14.1729749,11.01030794,44.47644019,509.7541419,39.03075027,-22.929251,24.8597188,18.98416742,9.960643607,19.4355688,7.208381577,1355.39959,349.8606557,8.120901639,98.81949152,860.4139344,50.66803279,727.6885246,83.00204918,2825.54842,30.00787004,0.074128984,14.7516679,81.54188288,32.3120992
Ghana,925,238535,0.003877838,-2.411410379,5.5,0,27.0445121,9.732090283,66.71523222,144.2935286,39.06399918,17.8162498,14.81298546,26.19454479,27.45270855,28.96659406,25.32352757,1216.257062,220.7288136,10.0720339,71.97307461,550.8135593,58.84463277,222.0946328,458.0536723,3089.000389,779.1295482,0.153217569,41.82839632,55.46475996,12.1540066
Hong Kong,236,2754,0.085693537,-1.067051933,22.4,0,22.15226402,5.75157299,29.7570034,508.271228,31.43255806,11.20308971,19.31748695,27.68167839,17.1081768,27.68167839,15.45151234,2011.8,356.2,24.6,77.61154785,1006.2,88.6,1006.2,100.6,2617.915009,217.1550003,14.28571429,14.28571429,71.42857143,23.8818458